Sample_name,Label,Hash,nReads
MFU-52193-1845-d1-1_S11,MFU,dd69ae022fe638fea391d043eaeaf8367b1d6107,1500
MFU-52193-360-d1-1_S22,MFU,8cc4635452f6aa9a16bbb2684372a69600bbae82,1350
MFU-52193-1507-d1-1_S21,MFU,a8488d2cab1bf16456aa7bda2d0bfbf8a77081c2,820
MFU-52193-572-d1-1_S6,MFU,d150dbe2b379a89a48a96059b5fbfa704338c451,9
MFU-52193-756-d10-1_S69,MFU,22f110a82c7b9009ee8f5bbc3956ececc1665289,1839
MFU-52193-1629-d1-1_S49,MFU,a202c7e5c750a6667be78ddd2e226cf753529b00,7
MFU-52193-812-d5-1_S34,MFU,0649394350327543425794878d7b5e91495176e6,28
MFU-52193-812-d5-1_S34,MFU,85785fce0dfb5004b07067f49996ac6beab56925,37
MFU-52193-966-d1-1_S19,MFU,e11851980ebfd56bc6f070cbfe37483f179e6abb,17
MFU-52193-302-d1-1_S14,MFU,8feae68498c5bee9d2a53e5a5e7c261d1026513d,32
MFU-52193-118-d10-1_S73,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,195
MFU-52193-200-d10-1_S74,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,34
MFU-52193-659-d10-1_S65,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,182
MFU-52193-439-d1-1_S25,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,43
MFU-52193-570-d1-1_S12,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,223
MFU-52193-1629-d1-1_S49,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,25
MFU-52193-374-d1-1_S45,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,34
MFU-52193-433-d1-1_S4,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,116
MFU-52193-1507-d1-1_S21,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,60
MFU-52193-1786-d1-1_S20,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,122
MFU-52193-1478-d1-1_S59,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,28
MFU-52193-1845-d1-1_S11,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,157
MFU-52193-86-d1-1_S38,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,48
MFU-52193-1016-d10-1_S79,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,58
MFU-52193-1359-d1-1_S10,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,385
MFU-52193-851-d1-1_S23,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,20
MFU-52193-641-d1-1_S2,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,69
MFU-52193-812-d5-1_S34,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,151
MFU-52193-231-d1-1_S39,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,29
MFU-52193-251-d1-1_S35,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,83
