"Primer","Project","tubeID","Dilution","Rep","BestTaxon","nReads","station","lat","lon","depth","depth_cat"
"MFU","52193","1000","d5","1","Agonopsis vulsa",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Allosmerus elongatus",135,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Alosa",50,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Alosa alabamae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ammodytidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Anarrhichthys ocellatus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Anoplarchus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Anoplopoma fimbria",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Apristurus brunneus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Arctozenus risso",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ariosoma balearicum",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Artedius",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Artedius corallinus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Artedius fenestralis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Artedius harringtoni",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Artedius lateralis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Artiodactyla",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Ascelichthys rhodorus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Astronesthes",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Atherinopsis californiensis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Balaena",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Balaena mysticetus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Balaenoptera",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Balaenoptera acutorostrata",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Balaenoptera musculus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Balaenoptera physalus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Bathyagonus pentacanthus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Bathylagidae",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Bathylagoides wesethi",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Bathyraja spinicauda",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Benthalbella dentata",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Berardius bairdii",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Beringraja",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Beringraja binoculata",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Beringraja inornata",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Bos taurus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Canis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Canis lupus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Careproctus melanurus",0,"60-2",44.23054833,-124.5392983,0,0
