V1,V2,V3
-127.433333333333,49.4,-1168.37231445312
-127.416610549944,49.4,-1239.19226074219
-127.399887766554,49.4,-1212.19226074219
-127.383164983165,49.4,-1174.19226074219
-127.366442199776,49.4,-1127.01220703125
-127.349719416386,49.4,-1041.16223144531
-127.332996632997,49.4,-867.994995117188
-127.316273849607,49.4,-672.434997558594
-127.299551066218,49.4,-555.625
-127.282828282828,49.4,-433.875
-127.266105499439,49.4,-344.994995117188
-127.249382716049,49.4,-245.744995117188
-127.23265993266,49.4,-203.625
-127.21593714927,49.4,-184.065002441406
-127.199214365881,49.4,-176.6875
-127.182491582492,49.4,-169.807495117188
-127.165768799102,49.4,-164.877502441406
-127.149046015713,49.4,-162.307495117188
-127.132323232323,49.4,-158.627502441406
-127.115600448934,49.4,-154.307495117188
-127.098877665544,49.4,-150.807495117188
-127.082154882155,49.4,-148.9375
-127.065432098765,49.4,-140.502502441406
-127.048709315376,49.4,-131.682495117188
-127.031986531987,49.4,-131.8125
-127.015263748597,49.4,-133.752502441406
-126.998540965208,49.4,-137.0625
-126.981818181818,49.4,-138.002502441406
-126.965095398429,49.4,-139.682495117188
-126.948372615039,49.4,-135.872497558594
-126.93164983165,49.4,-130.994995117188
-126.91492704826,49.4,-129.184997558594
-126.898204264871,49.4,-127.815002441406
-126.881481481481,49.4,-119.934997558594
-126.864758698092,49.4,-111.625
-126.848035914703,49.4,-106.245002746582
-126.831313131313,49.4,-105.684997558594
-126.814590347924,49.4,-98.375
-126.797867564534,49.4,-91.6900024414062
-126.781144781145,49.4,-87.370002746582
-126.764421997755,49.4,-80.0599975585938
-126.747699214366,49.4,-68.5
-126.730976430976,49.4,-49.75
-126.714253647587,49.4,-46.8699989318848
-126.697530864198,49.4,-45.439998626709
-126.680808080808,49.4,-44.3699989318848
-126.664085297419,49.4,-50.25
-126.647362514029,49.4,-49.689998626709
-126.63063973064,49.4,-38.810001373291
-126.61391694725,49.4,-33.439998626709
-126.597194163861,49.4,-21
-126.580471380471,49.4,-10.1899995803833
-126.563748597082,49.4,2.07999992370605
-126.547025813692,49.4,10.0500001907349
-126.530303030303,49.4,11.8249998092651
-126.513580246914,49.4,13.2349996566772
-126.496857463524,49.4,14.5349998474121
-126.480134680135,49.4,13.3549995422363
-126.463411896745,49.4,-3.8050000667572
-126.446689113356,49.4,-10.7449998855591
-126.429966329966,49.4,-10.6850004196167
-126.413243546577,49.4,-12.6850004196167
-126.396520763187,49.4,-18.3150005340576
-126.379797979798,49.4,-18.6849994659424
-126.363075196409,49.4,-9.875
-126.346352413019,49.4,5.03499984741211
-126.32962962963,49.4,77.3550033569336
-126.31290684624,49.4,381.204986572266
-126.296184062851,49.4,443.524993896484
-126.279461279461,49.4,196.934997558594
-126.262738496072,49.4,-16.1471042633057
-126.246015712682,49.4,-52.1271057128906
-126.229292929293,49.4,6.37289524078369
-126.212570145903,49.4,30.2528953552246
-126.195847362514,49.4,-44.3171043395996
-126.179124579125,49.4,-36.9971046447754
-126.162401795735,49.4,2.48289513587952
-126.145679012346,49.4,101.112892150879
-126.128956228956,49.4,54.0200004577637
-126.112233445567,49.4,74.0500030517578
-126.095510662177,49.4,11.8199996948242
-126.078787878788,49.4,50.0400009155273
-126.062065095398,49.4,207.520004272461
-126.045342312009,49.4,271
-126.02861952862,49.4,518.070007324219
-126.01189674523,49.4,704.75
-125.995173961841,49.4,344.320007324219
-125.978451178451,49.4,474.260009765625
-125.961728395062,49.4,297.899993896484
-125.945005611672,49.4,-36.9000015258789
-125.928282828283,49.4,-6.65999984741211
-125.911560044893,49.4,127.680000305176
-125.894837261504,49.4,532.309997558594
-125.878114478114,49.4,748.619995117188
-125.861391694725,49.4,776.3017578125
-125.844668911336,49.4,896.82177734375
-125.827946127946,49.4,697.231750488281
-125.811223344557,49.4,942.431762695312
-125.794500561167,49.4,727.201782226562
-125.777777777778,49.4,406.401763916016
-125.761054994388,49.4,79.0717620849609
-125.744332210999,49.4,150.161758422852
-125.727609427609,49.4,533.180053710938
-125.71088664422,49.4,641.940063476562
-125.694163860831,49.4,530.220031738281
-125.677441077441,49.4,537.7900390625
-125.660718294052,49.4,694.970031738281
-125.643995510662,49.4,730.380004882812
-125.627272727273,49.4,531.06005859375
-125.610549943883,49.4,814.02001953125
-125.593827160494,49.4,983.609985351562
-125.577104377104,49.4,1223.96997070312
-125.560381593715,49.4,977.030029296875
-125.543658810325,49.4,1004.91998291016
-125.526936026936,49.4,961.630004882812
-125.510213243547,49.4,879.489990234375
-125.493490460157,49.4,491.730010986328
-125.476767676768,49.4,309.470001220703
-125.460044893378,49.4,388.676818847656
-125.443322109989,49.4,337.066833496094
-125.426599326599,49.4,132.73681640625
-125.40987654321,49.4,127.466819763184
-125.39315375982,49.4,343.316833496094
-125.376430976431,49.4,421.406829833984
-125.359708193042,49.4,461.856811523438
-125.342985409652,49.4,475.096832275391
-125.326262626263,49.4,451.341888427734
-125.309539842873,49.4,523.69189453125
-125.292817059484,49.4,608.391906738281
-125.276094276094,49.4,797.661926269531
-125.259371492705,49.4,858.271911621094
-125.242648709315,49.4,884.661926269531
-125.225925925926,49.4,723.581909179688
-125.209203142536,49.4,714.041931152344
-125.192480359147,49.4,756.418090820312
-125.175757575758,49.4,790.76806640625
-125.159034792368,49.4,535.688049316406
-125.142312008979,49.4,172.318069458008
-125.125589225589,49.4,341.818084716797
-125.1088664422,49.4,448.348083496094
-125.09214365881,49.4,306.718078613281
-125.075420875421,49.4,262.608062744141
-125.058698092031,49.4,245.288787841797
-125.041975308642,49.4,196.638793945312
-125.025252525253,49.4,163.128784179688
-125.008529741863,49.4,132.618789672852
-124.991806958474,49.4,123.308792114258
-124.975084175084,49.4,127.278793334961
-124.958361391695,49.4,136.358795166016
-124.941638608305,49.4,219.948791503906
-124.924915824916,49.4,691.0791015625
-124.908193041526,49.4,1075.0791015625
-124.891470258137,49.4,1091.63916015625
-124.874747474747,49.4,897.119079589844
-124.858024691358,49.4,751.839111328125
-124.841301907969,49.4,642.359069824219
-124.824579124579,49.4,462.229095458984
-124.80785634119,49.4,610.439086914062
-124.7911335578,49.4,967.912475585938
-124.774410774411,49.4,900.692504882812
-124.757687991021,49.4,744.702514648438
-124.740965207632,49.4,616.382507324219
-124.724242424242,49.4,477.962493896484
-124.707519640853,49.4,284.642486572266
-124.690796857464,49.4,178.462493896484
-124.674074074074,49.4,126.642501831055
-124.657351290685,49.4,93.3600006103516
-124.640628507295,49.4,53.1300010681152
-124.623905723906,49.4,25.4300003051758
-124.607182940516,49.4,12.3299999237061
-124.590460157127,49.4,-4.90000009536743
-124.573737373737,49.4,-29.6200008392334
-124.557014590348,49.4,-44.810001373291
-124.540291806958,49.4,-64.870002746582
-124.523569023569,49.4,-83.9349975585938
-124.50684624018,49.4,-104.125
-124.49012345679,49.4,-116.625
-124.473400673401,49.4,-115.375
-124.456677890011,49.4,-145.994995117188
-124.439955106622,49.4,-172.744995117188
-124.423232323232,49.4,-184.494995117188
-124.406509539843,49.4,-198.994995117188
-124.389786756453,49.4,-209.434997558594
-124.373063973064,49.4,-225.494995117188
-124.356341189675,49.4,-246.375
-124.339618406285,49.4,-268.494995117188
-124.322895622896,49.4,-285.994995117188
-124.306172839506,49.4,-304.315002441406
-124.289450056117,49.4,-316.625
-124.272727272727,49.4,-335.934997558594
-124.256004489338,49.4,-333.502502441406
-124.239281705948,49.4,-311.372497558594
-124.222558922559,49.4,-314.002502441406
-124.205836139169,49.4,-319.372497558594
-124.18911335578,49.4,-320.3125
-124.172390572391,49.4,-291.752502441406
-124.155667789001,49.4,-284.432495117188
-124.138945005612,49.4,-288.872497558594
-124.122222222222,49.4,-284.244995117188
-124.105499438833,49.4,-290.684997558594
-124.088776655443,49.4,-299.125
-124.072053872054,49.4,-306.684997558594
-124.055331088664,49.4,-315.375
-124.038608305275,49.4,-346.244995117188
-124.021885521886,49.4,-377.434997558594
-124.005162738496,49.4,-395.065002441406
-123.988439955107,49.4,-395.309997558594
-123.971717171717,49.4,-402.369995117188
-123.954994388328,49.4,-399.309997558594
-123.938271604938,49.4,-364.309997558594
-123.921548821549,49.4,-325.369995117188
-123.904826038159,49.4,-315.619995117188
-123.88810325477,49.4,-307
-123.87138047138,49.4,-263.5
-123.854657687991,49.4,-210.747497558594
-123.837934904602,49.4,-183.4375
-123.821212121212,49.4,-171.997497558594
-123.804489337823,49.4,-128.997497558594
-123.787766554433,49.4,-104.6875
-123.771043771044,49.4,-119.997497558594
