Sample,Rep,Species,Reads,Prop,Gene,Primer,Taq,BSA,TD
MFU.QMMM.BSA.6,6,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Carcharodon carcharias,48,0.000300869,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Carcharodon carcharias,28,0.000226991,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Carcharodon carcharias,48,0.00039888,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Carcharodon carcharias,5571,0.037368947,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Carcharodon carcharias,4056,0.029766404,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Carcharodon carcharias,2366,0.028586963,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Carcharodon carcharias,13284,0.084474799,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Carcharodon carcharias,11548,0.077925934,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Carcharodon carcharias,5945,0.077387693,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Carcharodon carcharias,13685,0.080402099,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Carcharodon carcharias,11384,0.082887973,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Carcharodon carcharias,10742,0.07398734,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Carcharodon carcharias,10229,0.060387985,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Carcharodon carcharias,7852,0.050952273,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Carcharodon carcharias,6014,0.046119986,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Carcharodon carcharias,7680,0.045293167,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Carcharodon carcharias,4866,0.045677703,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Carcharodon carcharias,7676,0.051868019,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Carcharodon carcharias,2171,0.016227287,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Carcharodon carcharias,2511,0.014960855,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Carcharodon carcharias,1672,0.01495608,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Carcharodon carcharias,24429,0.110804191,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Carcharodon carcharias,3528,0.095926913,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Carcharodon carcharias,3034,0.09302183,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Carcharodon carcharias,16517,0.064506176,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Carcharodon carcharias,3266,0.051344935,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Carcharodon carcharias,8376,0.103573637,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Carcharodon carcharias,1932,0.028391306,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Carcharodon carcharias,5047,0.033287604,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Carcharodon carcharias,2000,0.025892649,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Carcharodon carcharias,786,0.004868802,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Carcharodon carcharias,470,0.005129996,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Carcharodon carcharias,796,0.006695997,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Carcharodon carcharias,10129,0.039703196,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Carcharodon carcharias,4510,0.038817737,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Carcharodon carcharias,6726,0.050260043,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Ceratoscopelus townsendi,4,0.000133364,16S,C16,IPSF,0,0
C16.IPSF.2,2,Ceratoscopelus townsendi,0,0,16S,C16,IPSF,0,0
C16.IPSF.3,3,Ceratoscopelus townsendi,0,0,16S,C16,IPSF,0,0
C16.NPHF.1,1,Ceratoscopelus townsendi,2,1.30E-05,16S,C16,NPHF,0,0
C16.NPHF.2,2,Ceratoscopelus townsendi,0,0,16S,C16,NPHF,0,0
C16.NPHF.3,3,Ceratoscopelus townsendi,0,0,16S,C16,NPHF,0,0
C16.PGTF.1,1,Ceratoscopelus townsendi,0,0,16S,C16,PGTF,1,0
C16.PGTF.2,2,Ceratoscopelus townsendi,0,0,16S,C16,PGTF,1,0
C16.PGTF.3,3,Ceratoscopelus townsendi,4,6.12E-05,16S,C16,PGTF,1,0
C16.QMMM.1,1,Ceratoscopelus townsendi,0,0,16S,C16,QMMM,0,0
C16.QMMM.2,2,Ceratoscopelus townsendi,0,0,16S,C16,QMMM,0,0
C16.QMMM.3,3,Ceratoscopelus townsendi,0,0,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Ceratoscopelus townsendi,5,1.80E-05,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Ceratoscopelus townsendi,0,0,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Ceratoscopelus townsendi,0,0,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Ceratoscopelus townsendi,7,1.80E-05,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Ceratoscopelus townsendi,42,0.000108924,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Ceratoscopelus townsendi,14,5.69E-05,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Ceratoscopelus townsendi,5,4.17E-05,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Ceratoscopelus townsendi,10,8.49E-05,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Ceratoscopelus townsendi,11,9.48E-05,12S,MFU,IPSF,0,0
