Sample,Rep,Species,Reads,Prop,Gene,Primer,Taq,BSA,TD
C16.IPSF.2,2,Diogenichthys atlanticus,2488,0.051529524,16S,C16,IPSF,0,0
C16.IPSF.3,3,Diogenichthys atlanticus,1064,0.042250725,16S,C16,IPSF,0,0
C16.NPHF.1,1,Diogenichthys atlanticus,7760,0.050465965,16S,C16,NPHF,0,0
C16.NPHF.2,2,Diogenichthys atlanticus,6831,0.050396175,16S,C16,NPHF,0,0
C16.NPHF.3,3,Diogenichthys atlanticus,7067,0.044303877,16S,C16,NPHF,0,0
C16.PGTF.1,1,Diogenichthys atlanticus,163,0.002516519,16S,C16,PGTF,1,0
C16.PGTF.2,2,Diogenichthys atlanticus,121,0.002428012,16S,C16,PGTF,1,0
C16.PGTF.3,3,Diogenichthys atlanticus,158,0.00241653,16S,C16,PGTF,1,0
C16.QMMM.1,1,Diogenichthys atlanticus,5,0.001423285,16S,C16,QMMM,0,0
C16.QMMM.2,2,Diogenichthys atlanticus,28,0.012307692,16S,C16,QMMM,0,0
C16.QMMM.3,3,Diogenichthys atlanticus,8,0.001603206,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Diogenichthys atlanticus,10323,0.037247785,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Diogenichthys atlanticus,9824,0.034751725,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Diogenichthys atlanticus,9730,0.034062783,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Diogenichthys atlanticus,3424,0.008784578,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Diogenichthys atlanticus,2934,0.007609099,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Diogenichthys atlanticus,1834,0.007448895,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Diogenichthys atlanticus,14149,0.117923074,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Diogenichthys atlanticus,13867,0.11770248,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Diogenichthys atlanticus,12983,0.111872264,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Diogenichthys atlanticus,14154,0.12571388,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Diogenichthys atlanticus,14384,0.119617464,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Diogenichthys atlanticus,12844,0.122618093,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Diogenichthys atlanticus,12796,0.133934833,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Diogenichthys atlanticus,11489,0.14398867,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Diogenichthys atlanticus,8568,0.130925094,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Diogenichthys atlanticus,18784,0.141967471,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Diogenichthys atlanticus,23213,0.14632409,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Diogenichthys atlanticus,23234,0.142880863,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Diogenichthys atlanticus,22411,0.134503661,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Diogenichthys atlanticus,19395,0.13215814,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Diogenichthys atlanticus,13692,0.13764124,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Diogenichthys atlanticus,12235,0.162848891,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Diogenichthys atlanticus,16915,0.177025881,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Diogenichthys atlanticus,21160,0.167127399,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Diogenichthys atlanticus,21096,0.132853877,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Diogenichthys atlanticus,19945,0.132496745,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Diogenichthys atlanticus,23994,0.13246108,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Diogenichthys atlanticus,14712,0.114404803,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Diogenichthys atlanticus,9989,0.112189315,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Diogenichthys atlanticus,9890,0.116113883,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Diogenichthys atlanticus,10632,0.113918354,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Diogenichthys atlanticus,14056,0.119022821,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Diogenichthys atlanticus,13056,0.117762725,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Diogenichthys atlanticus,13071,0.12881386,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Diogenichthys atlanticus,14705,0.127435177,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Diogenichthys atlanticus,8884,0.119853219,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Diogenichthys atlanticus,21771,0.141298563,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Diogenichthys atlanticus,18605,0.133952999,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Diogenichthys atlanticus,14195,0.130615212,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Diogenichthys atlanticus,54360,0.115606199,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Diogenichthys atlanticus,50173,0.112578309,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Diogenichthys atlanticus,59235,0.117541889,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Diogenichthys atlanticus,12587,0.111544358,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Diogenichthys atlanticus,11863,0.108195615,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Diogenichthys atlanticus,13590,0.112694977,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Diogenichthys atlanticus,22455,0.140750166,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Diogenichthys atlanticus,16935,0.137288919,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Diogenichthys atlanticus,15105,0.125522491,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Diogenichthys atlanticus,14128,0.094767274,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Diogenichthys atlanticus,12133,0.089042353,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Diogenichthys atlanticus,7661,0.092563282,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Diogenichthys atlanticus,19828,0.126089003,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Diogenichthys atlanticus,18519,0.12496626,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Diogenichthys atlanticus,10017,0.130394033,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Diogenichthys atlanticus,19309,0.113444218,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Diogenichthys atlanticus,18341,0.133542543,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Diogenichthys atlanticus,18711,0.128875175,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Diogenichthys atlanticus,19820,0.117009469,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Diogenichthys atlanticus,16913,0.109749846,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Diogenichthys atlanticus,14786,0.11339044,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Diogenichthys atlanticus,21088,0.124367488,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Diogenichthys atlanticus,12503,0.117367102,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Diogenichthys atlanticus,18217,0.123095323,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Diogenichthys atlanticus,13355,0.099822853,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Diogenichthys atlanticus,13885,0.082728584,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Diogenichthys atlanticus,11132,0.099576006,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Diogenichthys atlanticus,18551,0.084142967,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Diogenichthys atlanticus,2998,0.081516124,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Diogenichthys atlanticus,2378,0.072909002,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Diogenichthys atlanticus,28094,0.109719472,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Diogenichthys atlanticus,7114,0.11183952,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Diogenichthys atlanticus,8121,0.100420428,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Diogenichthys atlanticus,1308,0.019221443,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Diogenichthys atlanticus,2943,0.019410624,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Diogenichthys atlanticus,1340,0.017348075,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Diogenichthys atlanticus,4083,0.025291756,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Diogenichthys atlanticus,2447,0.026708725,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Diogenichthys atlanticus,2603,0.021896582,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Diogenichthys atlanticus,8871,0.034772145,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Diogenichthys atlanticus,3966,0.034135509,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Diogenichthys atlanticus,4761,0.035576578,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Engraulis mordax,2802,0.093421798,16S,C16,IPSF,0,0
C16.IPSF.2,2,Engraulis mordax,4680,0.096928526,16S,C16,IPSF,0,0
C16.IPSF.3,3,Engraulis mordax,2520,0.100067506,16S,C16,IPSF,0,0
C16.NPHF.1,1,Engraulis mordax,23084,0.150123238,16S,C16,NPHF,0,0
C16.NPHF.2,2,Engraulis mordax,19911,0.146894781,16S,C16,NPHF,0,0
C16.NPHF.3,3,Engraulis mordax,22863,0.143330909,16S,C16,NPHF,0,0
C16.PGTF.1,1,Engraulis mordax,8746,0.135027481,16S,C16,PGTF,1,0
C16.PGTF.2,2,Engraulis mordax,6495,0.130330089,16S,C16,PGTF,1,0
C16.PGTF.3,3,Engraulis mordax,9226,0.141107016,16S,C16,PGTF,1,0
C16.QMMM.1,1,Engraulis mordax,286,0.081411899,16S,C16,QMMM,0,0
C16.QMMM.2,2,Engraulis mordax,276,0.121318681,16S,C16,QMMM,0,0
C16.QMMM.3,3,Engraulis mordax,501,0.100400802,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Engraulis mordax,0,0,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Engraulis mordax,0,0,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Engraulis mordax,0,0,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Engraulis mordax,0,0,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Engraulis mordax,0,0,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Engraulis mordax,0,0,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Engraulis mordax,15762,0.131366421,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Engraulis mordax,12740,0.108136554,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Engraulis mordax,14258,0.122858719,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Engraulis mordax,11316,0.100507154,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Engraulis mordax,12529,0.104191268,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Engraulis mordax,11098,0.105949517,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Engraulis mordax,8115,0.084939135,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Engraulis mordax,6808,0.085322906,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Engraulis mordax,5299,0.080972464,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Engraulis mordax,15640,0.118205454,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Engraulis mordax,17787,0.112121078,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Engraulis mordax,17939,0.11031849,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Engraulis mordax,19144,0.114896171,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Engraulis mordax,16345,0.111375344,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Engraulis mordax,11953,0.120159636,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Engraulis mordax,5196,0.069159202,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Engraulis mordax,6507,0.068099758,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Engraulis mordax,9101,0.071882158,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Engraulis mordax,16419,0.103400067,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Engraulis mordax,14820,0.098450828,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Engraulis mordax,18844,0.104030032,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Engraulis mordax,14117,0.109777909,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Engraulis mordax,8828,0.099149792,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Engraulis mordax,8717,0.102342237,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Engraulis mordax,8741,0.093656916,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Engraulis mordax,11758,0.09956391,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Engraulis mordax,11648,0.105062823,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Engraulis mordax,12093,0.119175733,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Engraulis mordax,13330,0.115519273,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Engraulis mordax,8452,0.114025147,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Engraulis mordax,18303,0.118790483,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Engraulis mordax,16181,0.11650059,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Engraulis mordax,14757,0.135786452,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Engraulis mordax,52399,0.111435784,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Engraulis mordax,48685,0.10923953,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Engraulis mordax,56384,0.11188456,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Engraulis mordax,12531,0.111048093,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Engraulis mordax,11936,0.108861406,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Engraulis mordax,13006,0.107852161,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Engraulis mordax,20236,0.126841254,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Engraulis mordax,15201,0.123231701,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Engraulis mordax,17638,0.146571711,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Engraulis mordax,16838,0.112945312,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Engraulis mordax,14830,0.10883525,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Engraulis mordax,9684,0.117005981,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Engraulis mordax,14681,0.093358516,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Engraulis mordax,14986,0.101125567,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Engraulis mordax,7573,0.098579815,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Engraulis mordax,15343,0.090143179,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Engraulis mordax,12871,0.09371496,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Engraulis mordax,14095,0.097081695,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Engraulis mordax,14365,0.084805299,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Engraulis mordax,14217,0.09225528,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Engraulis mordax,9182,0.07041465,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Engraulis mordax,11504,0.06784539,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Engraulis mordax,7867,0.073848436,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Engraulis mordax,11458,0.077423627,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Engraulis mordax,14357,0.10731237,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Engraulis mordax,17494,0.104231461,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Engraulis mordax,10888,0.09739342,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Engraulis mordax,26621,0.120746587,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Engraulis mordax,4131,0.112322584,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Engraulis mordax,3436,0.105347069,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Engraulis mordax,30986,0.121014009,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Engraulis mordax,7173,0.112767061,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Engraulis mordax,10629,0.131433164,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Engraulis mordax,8835,0.129832915,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Engraulis mordax,18962,0.125064306,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Engraulis mordax,9257,0.119844126,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Engraulis mordax,21156,0.131048837,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Engraulis mordax,11881,0.129679757,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Engraulis mordax,15366,0.129259655,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Engraulis mordax,24609,0.096461245,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Engraulis mordax,10671,0.091845693,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Engraulis mordax,13487,0.100781624,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Hippoglossus stenolepis,687,0.022905345,16S,C16,IPSF,0,0
C16.IPSF.2,2,Hippoglossus stenolepis,1280,0.026510366,16S,C16,IPSF,0,0
C16.IPSF.3,3,Hippoglossus stenolepis,699,0.02775682,16S,C16,IPSF,0,0
C16.NPHF.1,1,Hippoglossus stenolepis,8754,0.056930291,16S,C16,NPHF,0,0
C16.NPHF.2,2,Hippoglossus stenolepis,7441,0.054896493,16S,C16,NPHF,0,0
C16.NPHF.3,3,Hippoglossus stenolepis,8433,0.052867496,16S,C16,NPHF,0,0
C16.PGTF.1,1,Hippoglossus stenolepis,3448,0.053232878,16S,C16,PGTF,1,0
C16.PGTF.2,2,Hippoglossus stenolepis,2453,0.049222434,16S,C16,PGTF,1,0
C16.PGTF.3,3,Hippoglossus stenolepis,3210,0.049095331,16S,C16,PGTF,1,0
C16.QMMM.1,1,Hippoglossus stenolepis,94,0.026757757,16S,C16,QMMM,0,0
C16.QMMM.2,2,Hippoglossus stenolepis,35,0.015384615,16S,C16,QMMM,0,0
C16.QMMM.3,3,Hippoglossus stenolepis,133,0.026653307,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Hippoglossus stenolepis,24033,0.086716653,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Hippoglossus stenolepis,22868,0.08089398,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Hippoglossus stenolepis,25246,0.088381195,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Hippoglossus stenolepis,14802,0.037975853,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Hippoglossus stenolepis,12494,0.032402209,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Hippoglossus stenolepis,8622,0.035018744,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Hippoglossus stenolepis,6171,0.051431429,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Hippoglossus stenolepis,5087,0.04317823,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Hippoglossus stenolepis,5497,0.047366698,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Hippoglossus stenolepis,4039,0.035873842,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Hippoglossus stenolepis,4501,0.037430353,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Hippoglossus stenolepis,3883,0.03706992,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Hippoglossus stenolepis,2558,0.026774406,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Hippoglossus stenolepis,2288,0.028674913,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Hippoglossus stenolepis,1356,0.020720638,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Hippoglossus stenolepis,6541,0.049436181,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Hippoglossus stenolepis,7412,0.046721844,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Hippoglossus stenolepis,7631,0.046927945,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Hippoglossus stenolepis,8044,0.048277518,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Hippoglossus stenolepis,6263,0.042676279,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Hippoglossus stenolepis,5148,0.051751176,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Hippoglossus stenolepis,1957,0.026047836,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Hippoglossus stenolepis,2619,0.027409446,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Hippoglossus stenolepis,3309,0.026135376,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Hippoglossus stenolepis,7794,0.049083386,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Hippoglossus stenolepis,7066,0.046940185,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Hippoglossus stenolepis,8906,0.049166391,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Hippoglossus stenolepis,5184,0.040312296,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Hippoglossus stenolepis,3471,0.038983793,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Hippoglossus stenolepis,3057,0.035890813,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Hippoglossus stenolepis,3723,0.03989071,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Hippoglossus stenolepis,4870,0.041237986,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Hippoglossus stenolepis,4506,0.040643293,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Hippoglossus stenolepis,5179,0.05103871,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Hippoglossus stenolepis,5222,0.045254437,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Hippoglossus stenolepis,3458,0.046651557,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Hippoglossus stenolepis,7685,0.049877335,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Hippoglossus stenolepis,5685,0.040931083,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Hippoglossus stenolepis,5467,0.050304569,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Hippoglossus stenolepis,20399,0.043382098,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Hippoglossus stenolepis,18125,0.040668922,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Hippoglossus stenolepis,20021,0.039728305,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Hippoglossus stenolepis,4425,0.039213775,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Hippoglossus stenolepis,4404,0.040166357,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Hippoglossus stenolepis,4988,0.041362954,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Hippoglossus stenolepis,6846,0.042911407,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Hippoglossus stenolepis,5815,0.047141132,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Hippoglossus stenolepis,6093,0.050632806,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Hippoglossus stenolepis,5735,0.03846902,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Hippoglossus stenolepis,4689,0.034411901,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Hippoglossus stenolepis,3263,0.039424878,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Hippoglossus stenolepis,6059,0.038530021,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Hippoglossus stenolepis,6430,0.043389657,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Hippoglossus stenolepis,3476,0.045248044,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Hippoglossus stenolepis,7346,0.043159212,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Hippoglossus stenolepis,5773,0.042033755,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Hippoglossus stenolepis,6304,0.043419865,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Hippoglossus stenolepis,7005,0.041354759,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Hippoglossus stenolepis,5979,0.038798222,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Hippoglossus stenolepis,4788,0.036718073,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Hippoglossus stenolepis,4076,0.024038405,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Hippoglossus stenolepis,2585,0.024265693,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Hippoglossus stenolepis,4601,0.031089728,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Hippoglossus stenolepis,4882,0.03649084,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Hippoglossus stenolepis,5985,0.035659386,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Hippoglossus stenolepis,3744,0.033490169,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Hippoglossus stenolepis,8806,0.039941942,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Hippoglossus stenolepis,1359,0.036951438,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Hippoglossus stenolepis,1205,0.036945058,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Hippoglossus stenolepis,13296,0.05192675,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Hippoglossus stenolepis,3272,0.051439262,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Hippoglossus stenolepis,4006,0.049536293,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Hippoglossus stenolepis,2414,0.035474438,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Hippoglossus stenolepis,5403,0.035635611,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Hippoglossus stenolepis,2648,0.034281867,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Hippoglossus stenolepis,5228,0.03238435,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Hippoglossus stenolepis,2772,0.030256063,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Hippoglossus stenolepis,3572,0.030047865,16S,MV3,PGTF,1,1
