Sample_name,Label,Hash,nReads
MV1-CPS-mock4-skew-d1-2_S125,MFU,b971a3b29f4fbf7347e419057bd21a18adf61e1d,115
MV1-CPS-mock4-skew-d1-3_S126,MFU,b971a3b29f4fbf7347e419057bd21a18adf61e1d,512
MV1-CPS-mock4-skew-d1-1_S124,MFU,b971a3b29f4fbf7347e419057bd21a18adf61e1d,159
MV1-OCNMS-2022-8-d10-1_S70,MFU,a884fe400c1aa1731e7956df53c5ca8b77dfd15f,11
MV1-OCNMS-2022-15-d10-1_S77,MFU,95fdba8110e49e996e00ad04729d57dc2e11c052,2
MV1-OCNMS-2022-6-d1-1_S68,MFU,95fdba8110e49e996e00ad04729d57dc2e11c052,3
MV1-OCNMS-2022-12-d10-1_S74,MFU,95fdba8110e49e996e00ad04729d57dc2e11c052,115
MV1-OCNMS-2022-10-d10-1_S72,MFU,95fdba8110e49e996e00ad04729d57dc2e11c052,21
MV1-OCNMS-2022-4-d1-1_S66,MFU,95fdba8110e49e996e00ad04729d57dc2e11c052,3
MV1-OCNMS-2022-18-d10-1_S80,MFU,95fdba8110e49e996e00ad04729d57dc2e11c052,5
MV1-OCNMS-2022-20-d10-1_S82,MFU,675ffa47ceebddf74d83eae281abbb18f3cfc1f7,6
MV1-OCNMS-2022-13-d1-1_S75,MFU,b8563493833e1d4be8788f2e914d30abfe978584,80
MV1-OCNMS-2022-14-d10-1_S76,MFU,3c36c02e40bc8ed038cbc48e7bdbcc26e5539468,44
MV1-OCNMS-2022-6-d1-1_S68,MFU,cf9a3cfb25f349a235d5ec3bc593d0eb5f8540fa,67
MV1-OCNMS-2022-10-d10-1_S72,MFU,d8a29f90d5932ccaca21769264dc568a16b929c9,180
MV1-OCNMS-2022-9-d10-1_S71,MFU,bdb33c9e54c873bba2459fd38936b3ceafa389f9,4
MV1-OCNMS-2022-7-d10-1_S69,MFU,bc7547974ab89bda5d5975c0433d4ad46e013e21,41
MV1-OCNMS-2022-23-d10-1_S85,MFU,1557fa0a549004ef9e48e8083aa99f9e39e22a40,7
MV1-OCNMS-2022-21-d10-1_S83,MFU,5b172f9f4defc959bf127091ae1a9409b66f9a02,10
MFU-OCNMS-2022-11-d10-1_S27,MFU,eb1ac15ac295c07215c3ffe956cdeb44b7c55905,113
MFU-CPS-mock4-skew-d1-2_S131,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,6
MFU-CPS-mock4-skew-d1-1_S130,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,9
MFU-OCNMS-2022-12-d10-1_S28,MFU,059c327da4cdb05ea2f4aab27961710fbf9c2678,1036
MFU-CPS-mock4-skew-d1-2_S131,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,14
MFU-CPS-mock4-skew-d1-1_S130,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,12
MFU-CPS-mock4-even-d1-2_S128,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,3
MFU-OCNMS-2022-4-d1-1_S20,MFU,f4a3e4f6ba8f38ce7b8345acdb55102103c8f010,47
MFU-mock1-even-d1-2_S42,MFU,63473f90db74e7f04895e6f63eeb65e33811e82f,5
MFU-CPS-mock4-skew-d1-2_S131,MFU,5c22cad2a6062dceb68168e9ed3f4e5728a2b115,6
MFU-CPS-mock4-skew-d1-1_S130,MFU,dbfacf0f4fc32d62e26b7e955224c475b3a0a176,7
MFU-CPS-mock4-skew-d1-1_S130,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,29
MFU-CPS-mock4-skew-d1-2_S131,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,22
MFU-CPS-mock4-skew-d1-2_S131,MFU,8c9c73613ed377f0a78d21e6a246036d53af0399,21
MFU-CPS-mock4-skew-d1-1_S130,MFU,8c9c73613ed377f0a78d21e6a246036d53af0399,21
MFU-CPS-mock4-even-d1-3_S129,MFU,8c9c73613ed377f0a78d21e6a246036d53af0399,4
MFU-OCNMS-2022-14-d10-1_S30,MFU,14c64a261a2c85467c78121198a9029fc11c1594,75
MFU-CPS-mock4-skew-d1-2_S131,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,28
MFU-CPS-mock4-even-d1-2_S128,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,2
MFU-CPS-mock4-skew-d1-3_S132,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,4
MFU-CPS-mock4-skew-d1-1_S130,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,12
MFU-OCNMS-2022-9-d10-1_S25,MFU,611af8fb2121b3d9ee9348ee5ca812d629a0fa4a,119
MFU-mock1-skew-d1-1_S44,MFU,aa6ce908117326de02645020a33f408658c76d60,708
MFU-mock1-skew-d1-3_S46,MFU,aa6ce908117326de02645020a33f408658c76d60,1403
MFU-mock1-skew-d1-2_S45,MFU,aa6ce908117326de02645020a33f408658c76d60,828
MFU-mock1-even-d1-2_S42,MFU,aa6ce908117326de02645020a33f408658c76d60,11636
MFU-mock1-even-d1-1_S41,MFU,aa6ce908117326de02645020a33f408658c76d60,12246
MFU-mock1-even-d1-3_S43,MFU,aa6ce908117326de02645020a33f408658c76d60,7605
MFU-OCNMS-2022-19-d10-1_S35,MFU,d7465bb97050cf8e77e80e2da5db6dbabe728ecf,4
MFU-OCNMS-2022-7-d10-1_S23,MFU,aa6b526729a7472d97116bc23f9e9a81ce5b9991,30
MFU-OCNMS-2022-16-d1-1_S32,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,133
MFU-OCNMS-2022-5-d10-1_S21,MFU,631fd7e814ddfc96c8c9566740f8ac555402cf3c,134
MFU-OCNMS-2022-4-d1-1_S20,MFU,631fd7e814ddfc96c8c9566740f8ac555402cf3c,62
MFU-OCNMS-2022-7-d10-1_S23,MFU,47c0059ab492a2d15eb989e07a0b09e175027fb4,63
MFU-CPS-mock3-skew-d1-2_S13,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,12620
MFU-CPS-mock3-even-d1-3_S6,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,4129
MFU-CPS-mock3-even-d1-1_S4,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,3211
MFU-CPS-mock3-skew-d1-1_S12,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,9661
MFU-CPS-mock3-skew-d1-3_S14,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,10897
MFU-CPS-mock3-even-d1-2_S5,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,5050
MFU-OCNMS-2022-10-d10-1_S26,MFU,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,157
MFU-OCNMS-2022-9-d10-1_S25,MFU,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,2200
MFU-OCNMS-2022-7-d10-1_S23,MFU,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,599
MFU-OCNMS-2022-11-d10-1_S27,MFU,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,245
