Sample_name,Label,Hash,nReads
MFU-52193-1291-d1-1_S40,MFU,6b62915cfb15c90cae56f9c237cfea934093228a,873
MFU-52193-1800-d1-1_S35,MFU,abd94f0c731c5b018fe7ae056d36593f05c0fc69,10
MFU-52193-799-d1-1_S38,MFU,3979e1921d94cf0a79755f2b7c4ed954005de170,62
MFU-52193-866-d1-1_S57,MFU,dcda5109caac9cba0ebc5d96b718dc10a654bec1,2
MFU-52193-267-d1-1_S85,MFU,a184878b4929d7425e9f6fa31fe05a0eebfb2a75,34
MFU-52193-1696-d1-1_S6,MFU,d0df09a9d820bd4330a173f39b05706a008d8119,3
MFU-52193-527-d1-1_S43,MFU,7f700311b28a179d57684c95251e23f5fceb1085,26
MFU-52193-502-d1-1_S1,MFU,9a68a7982bc78da43a03ffb0fdfe45b7683abe1f,5
MFU-52193-1826-d1-1_S45,MFU,3f419aa26998dca872108998907b583fbe34408c,53
MFU-52193-1743-d1-1_S19,MFU,3f419aa26998dca872108998907b583fbe34408c,159
MFU-52193-34-d1-1_S58,MFU,59fbfbe0d07a6bbcc53b85d815980b6f84f55ab7,205
MFU-52193-1229-d1-1_S12,MFU,7146b44fcea9974e1fbc8f529faed7e6fd5e0312,1535
MFU-52193-453-d10-1_S90,MFU,96cc6f2efe63aaf1d47e8bac4666d28b0560866e,92
MFU-52193-1229-d1-1_S12,MFU,c32c2de44c01d312c5c72fb37986503628ba59b6,96
MFU-52193-1291-d1-1_S40,MFU,a3314ee17e540ddc2b8e8732e7693b96e1cfbf95,141
MFU-52193-470-d5-1_S86,MFU,d06ff67ea5e3a5af2bb9808ba2dfbefec781af71,102
MFU-52193-1229-d1-1_S12,MFU,8c58da26f3a1729f82c7e07866f7ca4e10872464,57
MFU-52193-1322-d5-1_S76,MFU,d7465bb97050cf8e77e80e2da5db6dbabe728ecf,3609
MFU-52193-706-d5-1_S82,MFU,d7465bb97050cf8e77e80e2da5db6dbabe728ecf,4
MFU-52193-1330-d5-1_S5,MFU,2dd1c8577eeb826c29cce2f6cc9a23579fe0d595,13
MFU-52193-320-d10-1_S102,MFU,e5e629d37ed85d24e46f26e33e3f448a869e7c20,214
MFU-52193-31-d10-1_S106,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,1992
MFU-52193-225-d10-1_S99,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,1923
MFU-52193-578-d1-1_S69,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,54
MFU-52193-320-d10-1_S102,MFU,97ec450065ea3e9f714cafad4a88829670dadb82,109
MFU-52193-1167-d1-1_S10,MFU,a0544645d70df6bc1347acef42c8abaed94c8f1f,55
MFU-52193-1229-d1-1_S12,MFU,a0544645d70df6bc1347acef42c8abaed94c8f1f,3141
MFU-52193-1696-d1-1_S6,MFU,a0544645d70df6bc1347acef42c8abaed94c8f1f,2974
MFU-52193-1357-d1-1_S50,MFU,a0544645d70df6bc1347acef42c8abaed94c8f1f,2833
MFU-52193-1291-d1-1_S40,MFU,a0544645d70df6bc1347acef42c8abaed94c8f1f,944
MFU-52193-225-d10-1_S99,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,1955
MFU-52193-225-d10-1_S99,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,8184
MFU-52193-1826-d1-1_S45,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,4053
MFU-52193-1052-d1-1_S53,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,3336
MFU-52193-1812-d1-1_S7,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,244
MFU-52193-1215-d1-1_S26,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,1458
MFU-52193-1357-d1-1_S50,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,3086
MFU-52193-364-d1-1_S21,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,2216
MFU-52193-1487-d1-1_S41,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,7824
MFU-52193-706-d5-1_S82,MFU,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,16247
