Sample_name,Label,Hash,nReads
MFU-52193-1466-d1-1_S12,MFU,45bbf3764795199298ca1861181b4006324079de,5
MFU-52193-206-d1-1_S61,MFU,fec9908f5369acf3a35aaa0e2a42408de2583642,4
MFU-52193-1847-d1-1_S4,MFU,531d34436fae0a34d3ab1aba2a82f69bbab325db,6
MFU-52193-1464-d1-1_S6,MFU,409c52aca6eb6bb8aaf2e4c2b2bb540c8bb8f021,230
MFU-52193-920-d1-1_S21,MFU,8cf99dd0f69658ae19ec90274657d0c33d72ca30,10
MFU-52193-1355-d5-1_S20,MFU,6e479680303d52eaee432dec83e6dcb09f150589,160
MFU-52193-1155-d1-1_S66,MFU,f7c1e409a1eb8d37b07b0c749af73678419f7230,184
MFU-52193-1367-d1-1_S8,MFU,abc6f98e247d7bab77bd4b2383ed76ed1e225c98,36
MFU-52193-1698-d1-1_S54,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,23
MFU-52193-1293-d1-1_S53,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,128
MFU-52193-592-d10-1_S86,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,103
MFU-52193-1036-d1-1_S1,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,225
MFU-52193-920-d1-1_S21,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,77
MFU-52193-619-d1-1_S26,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,33
MFU-52193-112-d1-1_S27,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,78
MFU-52193-255-d1-1_S49,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,156
MFU-52193-206-d1-1_S61,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,14
MFU-52193-964-d1-1_S55,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,84
MFU-52193-1847-d1-1_S4,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,15
