Sample_name,Label,Hash,nReads
MFU-52193-1445-d1-1_S200,MFU,ac09fcb91abf36143042bcf94d22c7768e985f01,33
MFU-52193-1767-d1-1_S259,MFU,988dfda85839e4cd8a9fba75159d5e0fd54f5388,2
MFU-52193-1716-d1-1_S251,MFU,4367f1cf165eddd3bb5d2561a82f729c15ab3e5e,319
MFU-52193-1633-d1-1_S236,MFU,97623c623aecee5e279d3826107cb4289b402b75,21
MFU-52193-1834-d1-1_S270,MFU,ec1563b2966b23b9495e8fc516594b0f90276172,12
MFU-52193-1690-d1-1_S247,MFU,6f91db7c7a50e720332a0fd6b2b67a5a832891a1,49
MFU-52193-1767-d1-1_S259,MFU,ab5b53fccec1624f985d3c8f3415317f8aa75773,7
MFU-52193-1519-d5-1_S214,MFU,c510effd0696a9586172d20341f8849e0068b638,2
MFU-52193-1755-d1-1_S257,MFU,c776ba060fc37d569a0ec2534d3bb1cadb5a6e6d,128
MFU-52193-1678-d1-1_S245,MFU,ce2ffac97cb886b445699097fee49e6188699252,3
MFU-52193-1804-d1-1_S265,MFU,8a99ee81d3fa9f75e60ec3b93b199221233eb8ab,448
MFU-52193-1690-d1-1_S247,MFU,8cf99dd0f69658ae19ec90274657d0c33d72ca30,5
MFU-52193-1816-d1-1_S267,MFU,8cf99dd0f69658ae19ec90274657d0c33d72ca30,3
MFU-52193-1495-d1-1_S210,MFU,900d8feab9eca61610f6ebf697da99aa39b10661,3
MFU-52193-1690-d1-1_S247,MFU,e2c6dadd66d6f2118d70bd02947ef35c42b9fb96,10
MFU-52193-1755-d1-1_S257,MFU,3cc2e564b20e8b6c346725e08c257782719dfd1b,7
MFU-52193-1447-d5-1_S201,MFU,6eb45bc4245032c2182b9b90e95f8332db36397f,40
MFU-52193-1834-d1-1_S270,MFU,d2d2fb03af73734928baeb8cd2e777f6d53b7dd9,22
MFU-52193-1794-d1-1_S264,MFU,968878ca38faf8b8223c75cc21ebe62e0609311a,365
MFU-52193-1583-d1-1_S228,MFU,abd5a560f53dd4027773ce9f33e10b1b43f3228c,21
MFU-52193-1678-d1-1_S245,MFU,abd5a560f53dd4027773ce9f33e10b1b43f3228c,14
MFU-52193-1887-d1-1_S282,MFU,3f419aa26998dca872108998907b583fbe34408c,45
