Sample_name,Label,Hash,nReads
MFU-52193-1466-d1-1_S12,MFU,45bbf3764795199298ca1861181b4006324079de,3
MFU-52193-206-d1-1_S61,MFU,fec9908f5369acf3a35aaa0e2a42408de2583642,4
MFU-52193-1847-d1-1_S4,MFU,531d34436fae0a34d3ab1aba2a82f69bbab325db,5
MFU-52193-1464-d1-1_S6,MFU,409c52aca6eb6bb8aaf2e4c2b2bb540c8bb8f021,213
MFU-52193-920-d1-1_S21,MFU,8cf99dd0f69658ae19ec90274657d0c33d72ca30,10
MFU-52193-112-d1-1_S27,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,58
MFU-52193-255-d1-1_S49,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,108
MFU-52193-1042-d1-1_S31,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,62
MFU-52193-964-d1-1_S55,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,56
MFU-52193-1698-d1-1_S54,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,28
MFU-52193-621-d1-1_S62,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,24
MFU-52193-1462-d1-1_S42,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,36
MFU-52193-890-d1-1_S11,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,34
MFU-52193-1293-d1-1_S53,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,102
MFU-52193-619-d1-1_S26,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,17
MFU-52193-1054-d1-1_S41,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,22
MFU-52193-920-d1-1_S21,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,59
MFU-52193-336-d1-1_S5,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,29
MFU-52193-1036-d1-1_S1,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,160
MFU-52193-1563-d1-1_S13,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,165
MFU-52193-350-d1-1_S63,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,58
MFU-52193-1155-d1-1_S66,MFU,c48a75c0d98a466e8bf98bed470107e0b231965c,19
MFU-52193-380-d10-1_S78,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,17
MFU-52193-1269-d1-1_S23,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,39
MFU-52193-400-d10-1_S80,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,25
MFU-52193-1042-d1-1_S31,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,58
MFU-52193-890-d1-1_S11,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,30
MFU-52193-968-d1-1_S67,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,28
MFU-52193-920-d1-1_S21,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,60
MFU-52193-336-d1-1_S5,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,56
MFU-52193-255-d1-1_S49,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,37
MFU-52193-1698-d1-1_S54,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,28
MFU-52193-562-d1-1_S68,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,36
MFU-52193-649-d10-1_S83,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,22
MFU-52193-431-d1-1_S19,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,95
MFU-52193-625-d1-1_S17,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,18
MFU-52193-1847-d1-1_S4,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,65
MFU-52193-1036-d1-1_S1,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,63
MFU-52193-1563-d1-1_S13,MFU,8ef7ffec76605d4e8630dfa544de2130bf7fbec9,31
MFU-52193-1355-d5-1_S20,MFU,6e479680303d52eaee432dec83e6dcb09f150589,120
MFU-52193-1155-d1-1_S66,MFU,f7c1e409a1eb8d37b07b0c749af73678419f7230,146
MFU-52193-1367-d1-1_S8,MFU,abc6f98e247d7bab77bd4b2383ed76ed1e225c98,27
MFU-52193-964-d1-1_S55,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,73
MFU-52193-1042-d1-1_S31,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,59
MFU-52193-255-d1-1_S49,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,134
MFU-52193-1698-d1-1_S54,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,20
MFU-52193-1036-d1-1_S1,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,201
MFU-52193-112-d1-1_S27,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,66
MFU-52193-336-d1-1_S5,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,31
MFU-52193-1293-d1-1_S53,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,125
MFU-52193-592-d10-1_S86,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,88
MFU-52193-920-d1-1_S21,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,65
MFU-52193-1563-d1-1_S13,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,140
MFU-52193-350-d1-1_S63,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,74
MFU-52193-1847-d1-1_S4,MFU,2ad4c19d8a6171767d63ef22f2bd41f5bf02c920,11
MFU-52193-1367-d1-1_S8,MFU,3f419aa26998dca872108998907b583fbe34408c,2
MFU-52193-920-d1-1_S21,MFU,3221c2cff83eb5e784bffe6d7af4264a14536810,56
MFU-52193-140-d10-1_S75,MFU,8e3e01223c9f84a2b68470dbbf0b40e9883f3441,1740
